Variables ->,istar
Comments ->,Tasa de Interes de fondos federales
Class[Size] ->,tseries[123-by-1]
2005Q1,2.96E+00
2005Q2,3.35E+00
2005Q3,3.93E+00
2005Q4,4.09E+00
2006Q1,5.00E+00
2006Q2,5.05E+00
2006Q3,5.34E+00
2006Q4,5.17E+00
2007Q1,5.30E+00
2007Q2,5.31E+00
2007Q3,4.58E+00
2007Q4,3.06E+00
2008Q1,2.51E+00
2008Q2,2.47E+00
2008Q3,2.03E+00
2008Q4,1.40E-01
2009Q1,1.60E-01
2009Q2,2.20E-01
2009Q3,7.00E-02
2009Q4,5.00E-02
2010Q1,9.00E-02
2010Q2,9.00E-02
2010Q3,1.50E-01
2010Q4,1.30E-01
2011Q1,1.00E-01
2011Q2,7.00E-02
2011Q3,6.00E-02
2011Q4,4.00E-02
2012Q1,9.00E-02
2012Q2,9.00E-02
2012Q3,9.00E-02
2012Q4,9.00E-02
2013Q1,9.00E-02
2013Q2,7.00E-02
2013Q3,6.00E-02
2013Q4,7.00E-02
2014Q1,6.00E-02
2014Q2,9.00E-02
2014Q3,7.00E-02
2014Q4,6.00E-02
2015Q1,6.00E-02
2015Q2,8.00E-02
2015Q3,7.00E-02
2015Q4,2.00E-01
2016Q1,2.50E-01
2016Q2,3.00E-01
2016Q3,2.90E-01
2016Q4,5.50E-01
2017Q1,8.20E-01
2017Q2,1.06E+00
2017Q3,1.06E+00
2017Q4,1.33E+00
2018Q1,1.67E+00
2018Q2,1.91E+00
2018Q3,2.18E+00
2018Q4,2.40E+00
2019Q1,2.43E+00
2019Q2,2.40E+00
2019Q3,1.90E+00
2019Q4,1.55E+00
2020Q1,8.00E-02
2020Q2,8.00E-02
2020Q3,9.00E-02
2020Q4,9.00E-02
2021Q1,6.00E-02
2021Q2,8.00E-02
2021Q3,6.00E-02
2021Q4,7.00E-02
2022Q1,3.30E-01
2022Q2,1.58E+00
2022Q3,3.08E+00
2022Q4,4.33E+00
2023Q1,4.83E+00
2023Q2,5.08E+00
2023Q3,5.33E+00
2023Q4,5.33E+00
2024Q1,5.33E+00
2024Q2,5.30E+00
2024Q3,5.20E+00
2024Q4,5.10E+00
2025Q1,4.85E+00
2025Q2,4.60E+00
2025Q3,4.35E+00
2025Q4,4.10E+00
2026Q1,3.85E+00
2026Q2,3.60E+00
2026Q3,3.35E+00
2026Q4,3.10E+00
2027Q1,3.01E+00
2027Q2,3.01E+00
2027Q3,3.01E+00
2027Q4,3.01E+00
2028Q1,3.01E+00
2028Q2,3.01E+00
2028Q3,3.01E+00
2028Q4,3.01E+00
2029Q1,3.01E+00
2029Q2,3.01E+00
2029Q3,3.01E+00
2029Q4,3.01E+00
2030Q1,3.01E+00
2030Q2,3.01E+00
2030Q3,3.01E+00
2030Q4,3.01E+00
2031Q1,3.01E+00
2031Q2,3.01E+00
2031Q3,3.01E+00
