,bm
2001M1,11611.10
2001M2,11786.10
2001M3,11961.70
2001M4,11937.80
2001M5,11931.50
2001M6,11787.00
2001M7,12124.50
2001M8,12013.10
2001M9,12219.00
2001M10,12637.23
2001M11,12399.40
2001M12,13953.20
2002M1,13770.70
2002M2,13179.00
2002M3,14023.24
2002M4,13901.77
2002M5,13589.60
2002M6,13167.80
2002M7,13659.70
2002M8,13737.90
2002M9,12812.80
2002M10,13456.00
2002M11,15180.70
2002M12,16280.50
2003M1,14268.80
2003M2,15660.80
2003M3,14693.80
2003M4,16111.70
2003M5,14891.10
2003M6,14870.40
2003M7,15757.70
2003M8,15166.90
2003M9,14490.60
2003M10,16063.30
2003M11,15710.80
2003M12,17038.40
2004M1,15991.30
2004M2,16172.90
2004M3,16658.20
2004M4,16529.90
2004M5,16224.50
2004M6,16125.60
2004M7,15865.10
2004M8,16762.50
2004M9,16607.80
2004M10,16933.00
2004M11,16708.00
2004M12,19074.20
2005M1,17135.40
2005M2,18069.30
2005M3,18437.00
2005M4,18430.10
2005M5,18461.70
2005M6,18232.20
2005M7,18929.60
2005M8,18256.20
2005M9,18528.50
2005M10,19466.00
2005M11,19087.50
2005M12,21142.50
2006M1,21155.40
2006M2,20922.80
2006M3,21110.90
2006M4,21519.35
2006M5,22026.10
2006M6,21924.00
2006M7,21940.60
2006M8,22605.29
2006M9,21846.60
2006M10,24676.40
2006M11,22866.10
2006M12,25537.70
2007M1,25084.50
2007M2,25350.50
2007M3,25495.30
2007M4,24833.50
2007M5,25358.70
2007M6,26172.40
2007M7,26750.70
2007M8,25927.60
2007M9,26372.50
2007M10,26541.90
2007M11,25914.20
2007M12,28437.90
2008M1,27588.70
2008M2,26936.40
2008M3,26584.80
2008M4,26475.70
2008M5,25910.50
2008M6,26611.70
2008M7,26613.40
2008M8,26992.60
2008M9,27041.80
2008M10,26908.70
2008M11,27296.40
2008M12,28639.90
2009M1,27076.90
2009M2,26920.40
2009M3,27259.10
2009M4,28178.90
2009M5,28382.50
2009M6,28701.40
2009M7,28602.90
2009M8,28644.20
2009M9,29479.10
2009M10,29076.10
2009M11,29651.60
2009M12,31804.30
2010M1,30666.00
2010M2,29877.10
2010M3,31747.70
2010M4,30409.90
2010M5,30291.60
2010M6,30718.20
2010M7,30981.10
2010M8,30876.60
2010M9,31093.40
2010M10,31504.50
2010M11,31771.50
2010M12,34102.90
2011M1,34482.60
2011M2,33660.90
2011M3,34081.40
2011M4,34967.40
2011M5,32985.60
2011M6,34528.70
2011M7,33633.90
2011M8,34352.20
2011M9,33053.50
2011M10,33116.20
2011M11,34921.20
2011M12,37403.80
2012M1,35510.00
2012M2,36121.10
2012M3,36458.10
2012M4,35850.00
2012M5,34619.50
2012M6,36084.00
2012M7,36289.50
2012M8,35213.20
2012M9,35382.30
2012M10,37252.70
2012M11,37733.30
2012M12,41145.90
2013M1,38366.90
2013M2,37723.10
2013M3,41336.90
2013M4,39897.50
2013M5,39256.70
2013M6,39528.20
2013M7,40042.00
2013M8,39658.80
2013M9,38346.20
2013M10,40460.80
2013M11,39529.10
2013M12,43059.90
2014M1,38354.60
2014M2,39039.90
2014M3,40168.50
2014M4,41299.50
2014M5,40691.00
2014M6,40200.20
2014M7,41514.10
2014M8,41485.80
2014M9,41265.70
2014M10,40472.30
2014M11,42133.50
2014M12,46802.40
2015M1,44249.60
2015M2,43064.70
2015M3,47300.20
2015M4,46207.10
2015M5,45971.80
2015M6,48599.70
2015M7,46120.10
2015M8,47103.40
2015M9,47910.90
2015M10,47918.60
2015M11,47891.90
2015M12,51693.50
2016M1,49819.30
2016M2,48853.20
2016M3,49067.20
2016M4,50415.70
2016M5,50834.60
2016M6,51771.00
2016M7,51017.70
2016M8,52396.80
2016M9,51171.60
2016M10,50417.00
2016M11,53445.00
2016M12,59057.10
2017M1,55621.70
2017M2,55729.30
2017M3,54805.00
2017M4,56456.20
2017M5,57089.10
2017M6,57862.10
2017M7,57473.20
2017M8,56764.80
2017M9,57807.40
2017M10,57389.90
2017M11,57635.50
2017M12,66340.90
2018M1,61298.60
2018M2,61038.60
2018M3,62307.20
2018M4,59953.00
2018M5,60515.80
2018M6,61351.00
2018M7,59191.70
2018M8,61259.80
2018M9,62211.90
2018M10,63698.30
2018M11,60165.70
2018M12,71162.90
2019M1,64541.40
2019M2,66170.40
2019M3,66111.70
2019M4,66671.00
2019M5,67160.80
2019M6,67693.00
2019M7,70927.90
2019M8,67986.10
2019M9,68798.40
2019M10,72012.30
2019M11,70550.50
2019M12,79227.70
2020M1,73917.80
2020M2,71188.50
2020M3,77094.60
2020M4,80776.00
2020M5,75951.60
2020M6,80282.00
2020M7,81218.10
2020M8,81449.00
2020M9,89160.10
2020M10,83439.70
2020M11,87414.10
2020M12,103290.90
2021M1,89494.30
2021M2,90349.10
2021M3,94751.00
2021M4,88436.90
2021M5,92573.00
2021M6,96933.40
2021M7,91820.60
2021M8,94032.50
2021M9,97101.30
2021M10,94072.00
2021M11,98682.90
2021M12,115502.00
2022M1,100684.70
2022M2,101629.90
2022M3,104923.60
2022M4,102797.60
2022M5,104774.20
2022M6,109689.60
2022M7,107460.00
2022M8,106733.10
2022M9,108051.80
2022M10,110250.20
2022M11,109734.10
2022M12,123637.40
2023M1,114951.60
2023M2,116728.50
2023M3,115186.20
2023M4,116282.80
2023M5,118147.10
2023M6,123534.40
2023M7,121135.10
2023M8,120568.20
2023M9,117599.60
2023M10,120456.80
2023M11,125431.00
2023M12,136254.90
2024M1,128128.30
