Variables ->,bm_t
Comments ->,
Class[Size] ->,tseries[92-by-1]
2001Q1,11786.30
2001Q2,11885.43
2001Q3,12118.87
2001Q4,12996.61
2002Q1,13657.65
2002Q2,13553.06
2002Q3,13403.47
2002Q4,14972.40
2003Q1,14874.47
2003Q2,15291.07
2003Q3,15138.40
2003Q4,16270.83
2004Q1,16274.13
2004Q2,16293.33
2004Q3,16411.80
2004Q4,17571.73
2005Q1,17880.57
2005Q2,18374.67
2005Q3,18571.43
2005Q4,19898.67
2006Q1,21063.03
2006Q2,21823.15
2006Q3,22130.83
2006Q4,24360.07
2007Q1,25310.10
2007Q2,25454.87
2007Q3,26350.27
2007Q4,26964.67
2008Q1,27036.63
2008Q2,26332.63
2008Q3,26882.60
2008Q4,27615.00
2009Q1,27085.47
2009Q2,28420.93
2009Q3,28908.73
2009Q4,30177.33
2010Q1,30763.60
2010Q2,30473.23
2010Q3,30983.70
2010Q4,32459.63
2011Q1,34074.97
2011Q2,34160.57
2011Q3,33679.87
2011Q4,35147.07
2012Q1,36029.73
2012Q2,35517.83
2012Q3,35628.33
2012Q4,38710.63
2013Q1,39142.30
2013Q2,39560.80
2013Q3,39349.00
2013Q4,41016.60
2014Q1,39187.67
2014Q2,40730.23
2014Q3,41421.87
2014Q4,43136.07
2015Q1,44871.50
2015Q2,46926.20
2015Q3,47044.80
2015Q4,49168.00
2016Q1,49246.57
2016Q2,51007.10
2016Q3,51528.70
2016Q4,54306.37
2017Q1,55385.33
2017Q2,57135.80
2017Q3,57348.47
2017Q4,60455.43
2018Q1,61548.13
2018Q2,60606.60
2018Q3,60887.80
2018Q4,65008.97
2019Q1,65607.83
2019Q2,67174.93
2019Q3,69237.47
2019Q4,73930.17
2020Q1,74066.97
2020Q2,79003.20
2020Q3,83942.40
2020Q4,91381.57
2021Q1,91531.47
2021Q2,92647.77
2021Q3,94318.13
2021Q4,102752.30
2022Q1,102412.73
2022Q2,105753.80
2022Q3,107414.97
2022Q4,114540.57
2023Q1,115622.10
2023Q2,119321.43
2023Q3,119767.63
2023Q4,127380.90
