,CPIXFE
2001M01,101.506546
2001M02,102.51536
2001M03,103.2149
2001M04,103.7479
2001M05,104.170235
2001M06,104.86879
2001M07,105.542336
2001M08,106.884094
2001M09,107.62554
2001M10,108.54338
2001M11,109.319534
2001M12,110.10112
2002M01,112.206764
2002M02,113.49183
2002M03,114.240265
2002M04,114.854225
2002M05,115.28049
2002M06,115.83188
2002M07,116.34473
2002M08,116.81386
2002M09,117.20012
2002M10,117.64063
2002M11,118.15416
2002M12,118.66802
2003M01,120.11754
2003M02,121.03955
2003M03,121.58003
2003M04,122.17096
2003M05,122.67965
2003M06,123.2134
2003M07,123.66341
2003M08,124.02862
2003M09,124.43507
2003M10,124.82058
2003M11,125.213036
2003M12,125.74182
2004M01,127.41776
2004M02,128.29037
2004M03,128.95015
2004M04,129.45174
2004M05,130.15378
2004M06,130.80048
2004M07,131.3042
2004M08,132.02621
2004M09,132.78171
2004M10,133.56117
2004M11,134.44328
2004M12,135.17592
2005M01,137.2624
2005M02,138.36516
2005M03,139.00891
2005M04,139.54875
2005M05,140.31145
2005M06,141.02637
2005M07,141.67673
2005M08,142.1315
2005M09,142.85321
2005M10,144.02336
2005M11,144.79004
2005M12,145.52367
2006M01,147.42
2006M02,148.13472
2006M03,148.85318
2006M04,149.56708
2006M05,150.11261
2006M06,150.72707
2006M07,151.3424
2006M08,151.82812
2006M09,152.19937
2006M10,152.66963
2006M11,153.17325
2006M12,154.00319
2007M01,155.75664
2007M02,156.76083
2007M03,157.741
2007M04,158.3836
2007M05,158.86218
2007M06,159.57806
2007M07,160.4748
2007M08,161.44832
2007M09,162.22974
2007M10,163.00113
2007M11,164.28209
2007M12,165.49956
2008M01,167.78448
2008M02,169.34294
2008M03,170.82788
2008M04,172.19429
2008M05,173.67989
2008M06,175.2335
2008M07,176.95319
2008M08,177.91626
2008M09,178.82147
2008M10,179.94048
2008M11,180.79384
2008M12,181.27634
2009M01,182.26933
2009M02,182.67946
2009M03,183.0179
2009M04,183.3522
2009M05,183.777
2009M06,184.17564
2009M07,184.65747
2009M08,185.06693
2009M09,185.63206
2009M10,185.93036
2009M11,186.3526
2009M12,186.69626
2010M01,188.05405
2010M02,188.76413
2010M03,189.73293
2010M04,190.31842
2010M05,190.85828
2010M06,191.40466
2010M07,191.99081
2010M08,192.47092
2010M09,193.10437
2010M10,193.62047
2010M11,194.11964
2010M12,194.93187
2011M01,196.0497
2011M02,197.18034
2011M03,198.18808
2011M04,199.3289
2011M05,200.17993
2011M06,200.9548
2011M07,201.90738
2011M08,202.86002
2011M09,203.57285
2011M10,204.37665
2011M11,205.0595
2011M12,205.70279
2012M01,206.49031
2012M02,207.34695
2012M03,208.3483
2012M04,208.9951
2012M05,209.7939
2012M06,210.71082
2012M07,211.50533
2012M08,212.56046
2012M09,213.39328
2012M10,214.16135
2012M11,214.92952
2012M12,215.77321
2013M01,216.75844
2013M02,217.91864
2013M03,218.64848
2013M04,219.38705
2013M05,220.00366
2013M06,220.79778
2013M07,221.33675
2013M08,221.71179
2013M09,222.1641
2013M10,222.77415
2013M11,223.42723
2013M12,223.88231
2014M01,224.41685
2014M02,224.98653
2014M03,225.81155
2014M04,226.35652
2014M05,226.94234
2014M06,227.48311
2014M07,228.02908
2014M08,228.50769
2014M09,228.94087
2014M10,229.46068
2014M11,229.93535
2014M12,230.3426
2015M01,230.7518
2015M02,231.43355
2015M03,232.01505
2015M04,232.53162
2015M05,233.11584
2015M06,233.81508
2015M07,234.38756
2015M08,234.9334
2015M09,235.35757
2015M10,235.96292
2015M11,236.43161
2015M12,236.91228
2016M01,237.45692
2016M02,237.97002
2016M03,238.50305
2016M04,238.96234
2016M05,239.52136
2016M06,240.02773
2016M07,240.5624
2016M08,241.03293
2016M09,241.35876
2016M10,242.08604
2016M11,242.59264
2016M12,243.08667
2017M01,243.85248
2017M02,244.3916
2017M03,244.87363
2017M04,245.22453
2017M05,245.66095
2017M06,246.0228
2017M07,246.4356
2017M08,246.74843
2017M09,247.11717
2017M10,247.77238
2017M11,248.36548
2017M12,248.76115
2018M01,249.2863
2018M02,249.87004
2018M03,250.37573
2018M04,250.8663
2018M05,251.34024
2018M06,252.07639
2018M07,252.7962
2018M08,253.251
2018M09,253.73604
2018M10,254.20473
2018M11,254.64865
2018M12,255.04651
2019M01,255.3452
2019M02,255.82234
2019M03,256.5221
2019M04,257.04004
2019M05,257.54004
2019M06,258.11246
2019M07,258.566
2019M08,258.94373
2019M09,259.24808
2019M10,259.76038
2019M11,260.28873
2019M12,260.68234
2020M01,261.20575
2020M02,261.53244
2020M03,261.95306
2020M04,262.2999
2020M05,262.75385
2020M06,263.1521
2020M07,263.59793
2020M08,264.12857
2020M09,264.6936
2020M10,265.20932
2020M11,265.91083
2020M12,266.4373
2021M01,267.1794
2021M02,267.9838
2021M03,268.77374
2021M04,269.25925
2021M05,269.81766
2021M06,270.21036
2021M07,270.7614
2021M08,271.69244
2021M09,272.42554
2021M10,273.45193
2021M11,274.89346
2021M12,276.28043
2022M01,277.57224
2022M02,279.22366
2022M03,281.97223
2022M04,284.13666
2022M05,286.22232
2022M06,288.94116
2022M07,291.07785
2022M08,293.5186
2022M09,295.51065
2022M10,297.86893
2022M11,299.3531
2022M12,300.81976
2023M01,302.04633
2023M02,303.7829
2023M03,305.11737
2023M04,306.40997
2023M05,307.2289
2023M06,308.29538
2023M07,309.59036
2023M08,311.11035
2023M09,312.30222
2023M10,314.21646
2023M11,314.8882
2023M12,315.45923
2024M1,315.6864
2024M2,316.40076
2024M3,316.89395
