,RS_RW
2001M01,5.74
2001M02,5.59
2001M03,5.29
2001M04,4.67
2001M05,4.24
2001M06,3.95
2001M07,3.82
2001M08,3.66
2001M09,2.75
2001M10,2.66
2001M11,2.06
2001M12,1.52
2002M01,1.85
2002M02,1.83
2002M03,1.74
2002M04,1.82
2002M05,1.79
2002M06,1.73
2002M07,1.76
2002M08,1.81
2002M09,1.85
2002M10,1.82
2002M11,1.23
2002M12,1.16
2003M01,1.33
2003M02,1.33
2003M03,1.38
2003M04,1.31
2003M05,1.28
2003M06,1.45
2003M07,1.04
2003M08,1.01
2003M09,1.17
2003M10,1.03
2003M11,1.01
2003M12,0.94
2004M01,1.03
2004M02,1.04
2004M03,1.05
2004M04,1.03
2004M05,1.02
2004M06,1.38
2004M07,1.29
2004M08,1.55
2004M09,1.94
2004M10,1.79
2004M11,2.02
2004M12,1.97
2005M01,2.5
2005M02,2.52
2005M03,2.96
2005M04,2.97
2005M05,3.09
2005M06,3.35
2005M07,3.31
2005M08,3.63
2005M09,3.93
2005M10,4.02
2005M11,4.03
2005M12,4.09
2006M01,4.47
2006M02,4.52
2006M03,5
2006M04,4.86
2006M05,5.05
2006M06,5.05
2006M07,5.31
2006M08,5.31
2006M09,5.34
2006M10,5.31
2006M11,5.31
2006M12,5.17
2007M01,5.33
2007M02,5.41
2007M03,5.3
2007M04,5.29
2007M05,5.28
2007M06,5.31
2007M07,5.28
2007M08,4.96
2007M09,4.58
2007M10,4.6
2007M11,4.66
2007M12,3.06
2008M01,3.22
2008M02,3.01
2008M03,2.51
2008M04,2.37
2008M05,1.98
2008M06,2.47
2008M07,2.09
2008M08,1.94
2008M09,2.03
2008M10,0.22
2008M11,0.52
2008M12,0.14
2009M01,0.23
2009M02,0.22
2009M03,0.16
2009M04,0.2
2009M05,0.19
2009M06,0.22
2009M07,0.18
2009M08,0.15
2009M09,0.07
2009M10,0.11
2009M11,0.13
2009M12,0.05
2010M01,0.12
2010M02,0.13
2010M03,0.09
2010M04,0.2
2010M05,0.19
2010M06,0.09
2010M07,0.18
2010M08,0.21
2010M09,0.15
2010M10,0.2
2010M11,0.2
2010M12,0.13
2011M01,0.17
2011M02,0.16
2011M03,0.1
2011M04,0.09
2011M05,0.1
2011M06,0.07
2011M07,0.11
2011M08,0.08
2011M09,0.06
2011M10,0.09
2011M11,0.1
2011M12,0.04
2012M01,0.11
2012M02,0.1
2012M03,0.09
2012M04,0.16
2012M05,0.16
2012M06,0.09
2012M07,0.13
2012M08,0.13
2012M09,0.09
2012M10,0.18
2012M11,0.16
2012M12,0.09
2013M01,0.15
2013M02,0.14
2013M03,0.09
2013M04,0.14
2013M05,0.09
2013M06,0.07
2013M07,0.09
2013M08,0.07
2013M09,0.06
2013M10,0.07
2013M11,0.07
2013M12,0.07
2014M01,0.07
2014M02,0.06
2014M03,0.06
2014M04,0.09
2014M05,0.08
2014M06,0.09
2014M07,0.08
2014M08,0.07
2014M09,0.07
2014M10,0.07
2014M11,0.08
2014M12,0.06
2015M01,0.06
2015M02,0.06
2015M03,0.06
2015M04,0.08
2015M05,0.08
2015M06,0.08
2015M07,0.08
2015M08,0.08
2015M09,0.07
2015M10,0.07
2015M11,0.08
2015M12,0.2
2016M01,0.29
2016M02,0.29
2016M03,0.25
2016M04,0.3
2016M05,0.29
2016M06,0.3
2016M07,0.3
2016M08,0.3
2016M09,0.29
2016M10,0.31
2016M11,0.31
2016M12,0.55
2017M01,0.56
2017M02,0.57
2017M03,0.82
2017M04,0.83
2017M05,0.83
2017M06,1.06
2017M07,1.07
2017M08,1.07
2017M09,1.06
2017M10,1.07
2017M11,1.07
2017M12,1.33
2018M01,1.34
2018M02,1.35
2018M03,1.67
2018M04,1.69
2018M05,1.7
2018M06,1.91
2018M07,1.91
2018M08,1.91
2018M09,2.18
2018M10,2.2
2018M11,2.2
2018M12,2.4
2019M01,2.4
2019M02,2.4
2019M03,2.43
2019M04,2.45
2019M05,2.4
2019M06,2.4
2019M07,2.4
2019M08,2.13
2019M09,1.9
2019M10,1.58
2019M11,1.56
2019M12,1.55
2020M01,1.59
2020M02,1.58
2020M03,0.08
2020M04,0.05
2020M05,0.05
2020M06,0.08
2020M07,0.1
2020M08,0.09
2020M09,0.09
2020M10,0.09
2020M11,0.09
2020M12,0.09
2021M01,0.07
2021M02,0.07
2021M03,0.06
2021M04,0.05
2021M05,0.05
2021M06,0.08
2021M07,0.07
2021M08,0.06
2021M09,0.06
2021M10,0.07
2021M11,0.07
2021M12,0.07
2022M01,0.08
2022M02,0.08
2022M03,0.33
2022M04,0.33
2022M05,0.83
2022M06,1.58
2022M07,2.32
2022M08,2.33
2022M09,3.08
2022M10,3.08
2022M11,3.83
2022M12,4.33
2023M01,4.33
2023M02,4.57
2023M03,4.83
2023M04,4.83
2023M05,5.08
2023M06,5.08
2023M07,5.33
2023M08,5.33
2023M09,5.33
2023M10,5.33
2023M11,5.33
2023M12,5.33
