,REM_GDP
2002Q1,5.32491886
2002Q2,6.775604542
2002Q3,8.413460084
2002Q4,8.321931929
2003Q1,7.699929742
2003Q2,9.503097374
2003Q3,9.603263542
2003Q4,9.650635191
2004Q1,9.794771621
2004Q2,10.6212757
2004Q3,10.24811219
2004Q4,10.27576278
2005Q1,9.345444027
2005Q2,11.39131305
2005Q3,10.53195182
2005Q4,11.28344432
2006Q1,10.04142853
2006Q2,12.78228361
2006Q3,11.96137525
2006Q4,11.41237457
2007Q1,10.04761827
2007Q2,12.9527191
2007Q3,12.53240822
2007Q4,11.66704468
2008Q1,9.942010144
2008Q2,11.80151572
2008Q3,11.36595196
2008Q4,9.743620077
2009Q1,9.180177705
2009Q2,11.01243103
2009Q3,11.05743365
2009Q4,9.770705498
2010Q1,8.807038656
2010Q2,10.84244369
2010Q3,10.93532729
2010Q4,9.366794699
2011Q1,8.416992216
2011Q2,10.28639938
2011Q3,9.516876801
2011Q4,8.787597447
2012Q1,8.401450344
2012Q2,10.63204991
2012Q3,10.05814438
2012Q4,9.26340835
2013Q1,8.588931683
2013Q2,10.270568
2013Q3,10.150107
2013Q4,9.564329166
2014Q1,8.838073673
2014Q2,10.37199844
2014Q3,10.11699783
2014Q4,9.130746511
2015Q1,9.041817449
2015Q2,10.29256944
2015Q3,10.56260594
2015Q4,10.52978988
2016Q1,10.26143032
2016Q2,11.59746334
2016Q3,10.75183352
2016Q4,10.8161638
2017Q1,11.0260039
2017Q2,12.14744313
2017Q3,11.47043928
2017Q4,11.21205617
2018Q1,10.83401472
2018Q2,13.10580644
2018Q3,13.3100497
2018Q4,13.2200345
2019Q1,11.76600588
2019Q2,14.35753575
2019Q3,14.68125038
2019Q4,13.66399684
2020Q1,12.12658657
2020Q2,14.04533953
2020Q3,16.30868174
2020Q4,15.72508806
2021Q1,14.97425855
2021Q2,18.23917008
2021Q3,18.70983589
2021Q4,18.76334056
2022Q1,16.90847876
2022Q2,20.41335593
2022Q3,19.21117761
2022Q4,18.8106505
2023Q1,17.32976423
2023Q2,20.30172263
2023Q3,19.71323412
2023Q4,18.55552875
